"","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate","Date"
"1","Alabama","US","2020-07-02 04:33:59","32.3182","-86.9023","39647","972","18866","19124","1","794.626350015347","413953","2803","2.49473846311791","84000001","USA","8442.53276186805","7.19418920999949","2020-07-1"
"2","Alaska","US","2020-07-02 04:33:59","61.3707","-152.4044","975","14","528","433","2","133.279565850358","114400",NA,"1.43589743589744","84000002","USA","15638.135726442",NA,"2020-07-1"
"3","American Samoa","US","2020-07-02 04:33:59","-14.271","-170.132","0","0",NA,"0","60","0","696",NA,NA,"16","ASM","1250.87615247749",NA,"2020-07-1"
"4","Arizona","US","2020-07-02 04:33:59","33.7298","-111.4312","84105","1725","9715","72665","4","1155.49210114914","549596","4837","2.0510076689852","84000004","USA","7550.72631619006","5.7511444028298","2020-07-1"
"5","Arkansas","US","2020-07-02 04:33:59","34.9697","-92.3731","21197","277","15163","5757","5","702.398167674243","314858","1448","1.30678869651366","84000005","USA","10433.3482227474","6.83115535217248","2020-07-1"
"6","California","US","2020-07-02 04:33:59","36.1162","-119.6816","247317","6169",NA,"232512","6","604.068771326787","4254176",NA,"2.58462131464172","84000006","USA","10766.734131866",NA,"2020-07-1"
"7","Colorado","US","2020-07-02 04:33:59","39.0598","-105.3111","33029","1697","4502","26813","8","573.25079670261","327503","5489","5.14055494971525","84000008","USA","5687.06396681494","16.6272870471344","2020-07-1"
"8","Connecticut","US","2020-07-02 04:33:59","41.5978","-72.7554","46572","4324","8053","34195","9","1306.26230090313","477841","10268","9.28454865584471","84000009","USA","13402.5956395656","22.0475822382547","2020-07-1"
"9","Delaware","US","2020-07-02 04:33:59","39.3185","-75.5071","11510","567","6676","4325","10","1182.01124707835","111384",NA,"4.42224152910513","84000010","USA","11438.5004990942",NA,"2020-07-1"
"10","Diamond Princess","US","2020-07-02 04:33:59",NA,NA,"49","0",NA,"49","88888",NA,NA,NA,"0","84088888","USA",NA,NA,"2020-07-1"
"11","District of Columbia","US","2020-07-02 04:33:59","38.8974","-77.0268","10365","553","1451","8361","11","1468.6524529259","100035",NA,"5.33526290400386","84000011","USA","14174.3027620301",NA,"2020-07-1"
"12","Florida","US","2020-07-02 04:33:59","27.7663","-81.6868","158997","3550",NA,"155447","12","740.287489319755","1980354","15125","2.23274652980874","84000012","USA","9220.49655417608","9.51275810235413","2020-07-1"
"13","Georgia","US","2020-07-02 04:33:59","33.0406","-83.6431","84242","2827",NA,"81415","13","793.431701835747","855038","11275","3.35580826666034","84000013","USA","8053.15941542501","13.3840602074974","2020-07-1"
"14","Grand Princess","US","2020-07-02 04:33:59",NA,NA,"103","3",NA,"100","99999",NA,NA,NA,"2.9126213592233","84099999","USA",NA,NA,"2020-07-1"
"15","Guam","US","2020-07-02 04:33:59","13.4443","144.7937","267","5","179","83","66","162.577863836472","13784",NA,"1.87265917602996","316","GUM","8393.15833379001",NA,"2020-07-1"
"16","Hawaii","US","2020-07-02 04:33:59","21.0943","-157.4983","926","18","736","172","15","65.4013922162455","79058","113","1.9438444924406","84000015","USA","5583.69683135199","12.2030237580994","2020-07-1"
